0, 120584
1, 15376
2, 5953
3, 3421
4, 2415
5, 1724
6, 1291
7, 1035
8, 817
9, 681
10, 556
11, 473
12, 406
13, 368
14, 316
15, 239
16, 212
17, 189
18, 178
19, 142
20, 119
21, 125
22, 106
23, 95
24, 79
25, 73
26, 69
27, 52
28, 58
29, 36
30, 39
31, 31
32, 26
33, 25
34, 35
35, 20
36, 21
37, 14
38, 13
39, 11
40, 23
41, 21
42, 14
43, 10
44, 8
45, 7
46, 6
47, 7
48, 6
49, 2
50, 9
51, 9
52, 10
53, 7
54, 8
55, 6
56, 5
57, 5
58, 4
59, 4
60, 3
61, 2
62, 4
63, 2
64, 1
65, 1
66, 3
67, 1
68, 0
69, 0
70, 3
71, 1
72, 1
73, 1
74, 1
75, 2
76, 1
77, 1
78, 0
79, 1
80, 2
81, 3
82, 1
83, 0
84, 0
85, 0
86, 0
87, 2
88, 0
89, 0
90, 0
91, 0
92, 0
93, 0
94, 0
95, 1
96, 1
97, 0
98, 0
99, 0
100, 1
101, 0
102, 0
103, 0
104, 0
105, 0
106, 0
107, 0
108, 1
109, 0
110, 1
