"spee",     5.0,   4.0
"ener",     3.6,   7.1
"fuel",     6.0,  10.4
"idle",     4.0,  11.1
"afte",     5.4,  15.4
"mil",      4.3,  18.4
"gunk",    17.0,   1.5
"out",     18.1,   3.0
"star",    20.3,   8.8
"gunr",    18.9,  14.2
"roll",    18.0,  15.0
"alti",    19.1,  20.1
"offe",    16.8,  20.1
